stop_id,routes,cross_street,on_street,dept_name
1,126,AUSTIN,JACKSON,Bus Operations
2,126,MAYFIELD (EXTENDED),JACKSON,Bus Operations
3,126,MENARD,JACKSON,Bus Operations
4,126,5700 WEST,JACKSON,Bus Operations
6,126,LOTUS,JACKSON,Bus Operations
7,126,5351 WEST,JACKSON,Bus Operations
8,126,LOCKWOOD,JACKSON,Bus Operations
9,126,LARAMIE,JACKSON,Bus Operations
12,126,LAVERGNE,JACKSON,Bus Operations
13,126,4849 WEST,JACKSON,Bus Operations
14,126,CICERO,JACKSON,Bus Operations
15,126,KILPATRICK,JACKSON,Bus Operations
16,126,KENTON,JACKSON,Bus Operations
17,126,KOLMAR,JACKSON,Bus Operations
18,126,KILBOURN,JACKSON,Bus Operations
19,126,KOSTNER,JACKSON,Bus Operations
20,126,KILDARE,JACKSON,Bus Operations
21,126,KEELER,JACKSON,Bus Operations
22,126,KARLOV,JACKSON,Bus Operations
23,126,PULASKI,JACKSON,Bus Operations
24,126,SPRINGFIELD,JACKSON,Bus Operations
25,126,HAMLIN,JACKSON,Bus Operations
26,126,CENTRAL PARK,JACKSON,Bus Operations
27,126,ST. LOUIS,JACKSON,Bus Operations
29,126,SPAULDING,JACKSON,Bus Operations
30,126,KEDZIE,JACKSON,Bus Operations
31,126,ALBANY,JACKSON,Bus Operations
32,126,SACRAMENTO,JACKSON,Bus Operations
33,126,FRANCISCO,JACKSON,Bus Operations
34,126,CALIFORNIA,JACKSON,Bus Operations
35,126,WASHTENAW,JACKSON,Bus Operations
36,126,2609 WEST alley,JACKSON,Bus Operations
38,126,WESTERN,JACKSON,Bus Operations
39,126,OAKLEY,JACKSON,Bus Operations
40,126,LEAVITT,JACKSON,Bus Operations
41,126,HOYNE,JACKSON,Bus Operations
42,126,DAMEN,JACKSON,Bus Operations
44,50&126,CONGRESS,DAMEN,Bus Operations
48,126,WOOD,HARRISON,Bus Operations
49,126& 755,PAULINA,HARRISON,Bus Operations
50,9&126,CONGRESS,ASHLAND,Bus Operations
51,9&126,VAN BUREN,ASHLAND,Bus Operations
52,126,1900 W.(MALCOLM X COLL.),JACKSON,Bus Operations
53,126,OGDEN,JACKSON,Bus Operations
54,126,PAULINA,JACKSON,Bus Operations
55,126,ASHLAND,JACKSON,Bus Operations
56,126,LAFLIN,JACKSON,Bus Operations
57,126,LOOMIS,JACKSON,Bus Operations
59,126,RACINE,JACKSON,Bus Operations
60,126,ABERDEEN,JACKSON,Bus Operations
61,126,MORGAN,JACKSON,Bus Operations
63,126,PEORIA,JACKSON,Bus Operations
64,126,HALSTED,JACKSON,Bus Operations
65,126,DESPLAINES,JACKSON,Bus Operations
67,121&123,CANAL,JACKSON,Bus Operations
69,1&7&X28&126&129&130&132&151,FINANCIAL PLACE,JACKSON,Bus Operations
70,1&7&X28&126&129&130&151,DEARBORN,JACKSON,Bus Operations
71,1&7&X28&126&129&130,STATE,JACKSON,Bus Operations
72,1&7&X28&126&129,WABASH,JACKSON,Bus Operations
73,1&3&4&7&J14&26&X28&126&129&132&143&147&148,betw. VAN BUREN & CONGRES,MICHIGAN,Bus Operations
74,7&126&132&143&147,MICHIGAN,CONGRESS PLAZA,Bus Operations
75,1&7&X28&126&129,VAN BUREN,MICHIGAN,Bus Operations
